filename,duration,date,fold,class,hex_id,original_fold
7C779A_2022-12-08_09-11-44_0_0.wav,50,2022-12-08,2,1,7C779A,0
7C4316_2022-12-08_09-18-03_0_0.wav,50,2022-12-08,2,1,7C4316,0
7C77FA_2022-12-08_09-21-43_0_0.wav,50,2022-12-08,1,1,7C77FA,0
7C779B_2022-12-08_09-36-45_0_0.wav,45,2022-12-08,2,1,7C779B,0
7C4028_2022-12-08_09-58-18_0_0.wav,30,2022-12-08,1,1,7C4028,0
7C7777_2022-12-08_10-06-22_0_0.wav,40,2022-12-08,0,1,7C7777,0
7C68CE_2022-12-08_10-09-07_0_0.wav,40,2022-12-08,0,1,7C68CE,0
7C7A46_2022-12-08_10-16-28_0_0.wav,60,2022-12-08,1,1,7C7A46,0
7C7BD1_2022-12-08_10-28-50_0_0.wav,45,2022-12-08,2,1,7C7BD1,0
7C2BEE_2022-12-08_10-32-14_0_0.wav,35,2022-12-08,1,1,7C2BEE,0
7C4203_2022-12-08_10-37-49_0_0.wav,55,2022-12-08,0,1,7C4203,0
7C6DB4_2022-12-08_10-42-36_0_0.wav,55,2022-12-08,2,1,7C6DB4,0
7C7A45_2022-12-08_10-45-25_0_0.wav,50,2022-12-08,2,1,7C7A45,0
7C1CA2_2022-12-08_11-02-36_0_0.wav,20,2022-12-08,1,1,7C1CA2,0
7C7AA6_2022-12-08_11-15-50_0_0.wav,60,2022-12-08,2,1,7C7AA6,0
7C5356_2022-12-08_11-28-12_0_0.wav,50,2022-12-08,2,1,7C5356,0
7C6DE9_2022-12-08_11-30-49_0_0.wav,35,2022-12-08,0,1,7C6DE9,0
7C68D4_2022-12-08_11-37-59_0_0.wav,45,2022-12-08,2,1,7C68D4,0
7C68A8_2022-12-08_11-48-48_0_0.wav,35,2022-12-08,1,1,7C68A8,0
7C7BD9_2022-12-08_12-01-35_0_0.wav,55,2022-12-08,2,1,7C7BD9,0
C8809F_2022-12-08_12-08-45_0_0.wav,50,2022-12-08,1,1,C8809F,0
7C708D_2022-12-08_12-11-35_0_0.wav,60,2022-12-08,1,1,7C708D,0
7C7CD0_2022-12-08_12-29-45_0_0.wav,55,2022-12-08,2,1,7C7CD0,0
7C6C29_2022-12-08_12-33-42_0_0.wav,55,2022-12-08,0,1,7C6C29,0
7C7701_2022-12-08_12-40-39_0_0.wav,55,2022-12-08,1,1,7C7701,0
7C6D9C_2022-12-08_12-44-37_0_0.wav,45,2022-12-08,2,1,7C6D9C,0
7C67B7_2022-12-08_12-49-35_0_0.wav,45,2022-12-08,2,1,7C67B7,0
7C4BF6_2022-12-08_12-53-44_0_0.wav,45,2022-12-08,0,1,7C4BF6,0
7C29D4_2022-12-08_13-09-46_0_0.wav,45,2022-12-08,2,1,7C29D4,0
7C3336_2022-12-08_13-15-35_0_0.wav,50,2022-12-08,1,1,7C3336,0
7C752F_2022-12-08_13-28-23_0_0.wav,50,2022-12-08,2,1,7C752F,0
7C6DD6_2022-12-08_13-30-59_0_0.wav,55,2022-12-08,0,1,7C6DD6,0
C822EB_2022-12-08_13-38-50_0_0.wav,50,2022-12-08,2,1,C822EB,0
7C6D27_2022-12-08_14-01-16_0_0.wav,50,2022-12-08,0,1,7C6D27,0
7C77D9_2022-12-08_14-18-52_0_0.wav,55,2022-12-08,0,1,7C77D9,0
7C6D99_2022-12-08_14-46-12_0_0.wav,60,2022-12-08,0,1,7C6D99,0
7C6D37_2022-12-08_14-52-44_0_0.wav,50,2022-12-08,2,1,7C6D37,0
7C6B0C_2022-12-08_14-57-18_0_0.wav,60,2022-12-08,1,1,7C6B0C,0
7C779A_2022-12-08_14-59-40_0_0.wav,60,2022-12-08,2,1,7C779A,0
7C6C18_2022-12-08_15-04-17_0_0.wav,30,2022-12-08,2,1,7C6C18,0
7C68C7_2022-12-08_15-11-26_0_0.wav,50,2022-12-08,0,1,7C68C7,0
5001DE_2022-12-08_15-17-48_0_0.wav,50,2022-12-08,0,1,5001DE,0
7C6C9A_2022-12-08_15-20-54_0_0.wav,50,2022-12-08,0,1,7C6C9A,0
7C77FB_2022-12-08_15-28-14_0_0.wav,55,2022-12-08,0,1,7C77FB,0
7C68CE_2022-12-08_15-30-36_0_0.wav,50,2022-12-08,1,1,7C68CE,0
7C6C9A_2022-12-08_15-37-09_0_0.wav,50,2022-12-08,1,1,7C6C9A,0
7C6289_2022-12-08_15-50-34_0_0.wav,45,2022-12-08,2,1,7C6289,0
7C7C9B_2022-12-08_15-55-38_0_0.wav,50,2022-12-08,1,1,7C7C9B,0
7C68AE_2022-12-08_16-02-20_0_0.wav,45,2022-12-08,2,1,7C68AE,0
7C79B4_2022-12-08_16-07-21_0_0.wav,40,2022-12-08,2,1,7C79B4,0
7C6D96_2022-12-08_17-00-28_0_0.wav,40,2022-12-08,2,1,7C6D96,0
7C7AB4_2022-12-08_17-06-42_0_0.wav,50,2022-12-08,2,1,7C7AB4,0
7C2BEE_2022-12-08_17-21-12_0_0.wav,50,2022-12-08,2,1,7C2BEE,0
7C1CE4_2022-12-08_17-26-01_0_0.wav,20,2022-12-08,2,1,7C1CE4,0
7C7801_2022-12-08_17-40-17_0_0.wav,35,2022-12-08,0,1,7C7801,0
7C7AA6_2022-12-08_17-47-10_0_0.wav,50,2022-12-08,0,1,7C7AA6,0
7C6A8C_2022-12-08_17-51-40_0_0.wav,40,2022-12-08,0,1,7C6A8C,0
7C6D94_2022-12-08_17-55-19_0_0.wav,50,2022-12-08,0,1,7C6D94,0
7C7AAB_2022-12-08_18-02-21_0_0.wav,55,2022-12-08,2,1,7C7AAB,0
7C7CD1_2022-12-08_18-05-05_0_0.wav,50,2022-12-08,1,1,7C7CD1,0
7C6DA0_2022-12-08_18-08-04_0_0.wav,45,2022-12-08,0,1,7C6DA0,0
7C779B_2022-12-08_18-25-04_0_0.wav,45,2022-12-08,2,1,7C779B,0
7C8033_2022-12-08_18-46-59_0_0.wav,45,2022-12-08,1,1,7C8033,0
7C779A_2022-12-08_18-53-01_0_0.wav,50,2022-12-08,2,1,7C779A,0
7C6289_2022-12-08_18-54-32_0_0.wav,40,2022-12-08,2,1,7C6289,0
7C6D9F_2022-12-08_18-59-15_0_0.wav,45,2022-12-08,0,1,7C6D9F,0
7C7C9C_2022-12-08_19-03-02_0_0.wav,45,2022-12-08,2,1,7C7C9C,0
7C7BCF_2022-12-08_19-06-49_0_0.wav,50,2022-12-08,0,1,7C7BCF,0
7C6DB9_2022-12-08_19-24-17_0_0.wav,50,2022-12-08,2,1,7C6DB9,0
7C6B2D_2022-12-08_19-27-54_0_0.wav,50,2022-12-08,0,1,7C6B2D,0
7C6DBB_2022-12-08_19-31-20_0_0.wav,45,2022-12-08,2,1,7C6DBB,0
